timestamp,temp,pulse,stats
0,36.85,160,99
20,36.15,155,99
40,36.5,155,98
60,37.15,150,97
80,35.9,146,98
100,36.8,142,99
120,36.65,140,99
140,37.15,141,98
160,35.6,138,98
180,36.8,134,100
200,37.4,138,98
220,36.5,133,100
240,36.9,136,98
260,36.4,131,100
280,37,135,98
300,37,137,97
320,37.25,135,98
340,37.15,132,99
360,37.35,134,98
380,36.65,135,97
400,36.85,135,97
420,36.85,131,99
440,36.9,129,100
460,36,130,99
480,36.75,128,100
500,38.95,136,97
520,36.1,127,100
540,37.1,130,99
560,38.15,129,100
580,37.35,132,98
600,38.9,133,98
620,36.3,126,100
640,36.5,128,99
660,36.8,130,98
680,36.8,128,99
700,37.85,127,100
720,36.9,134,96
740,37,128,99
760,36.75,129,98
780,36.8,129,98
800,36.8,125,100
820,36.8,125,100
840,37.9,130,98
860,36.95,125,100
880,37,127,99
900,37.15,125,100
920,37.15,127,99
940,36.35,130,97
960,36.7,132,96
980,36.7,128,98
1000,36.8,124,100
1020,37,124,100
1040,37.1,130,97
1060,37.1,124,100
1080,37.25,126,99
1100,37.4,124,100
1120,37.45,124,100
1140,36.6,123,100
1160,37.65,124,100
1180,36.7,127,98
1200,36.85,131,96
1220,38.15,124,100
1240,36.7,124,99
1260,36.8,130,96
1280,36.85,122,100
1300,37,124,99
1320,36.3,121,100
1340,36.4,121,100
1360,37.45,124,99
1380,36.75,125,98
1400,36.75,125,98
1420,36.85,125,98
1440,36.95,121,100
1460,37,123,99
1480,37.1,125,98
1500,37.15,123,99
1520,37.2,123,99
1540,36.35,120,100
1560,36.5,124,98
1580,36.5,124,98
1600,36.6,120,100
1620,36.6,122,99
1640,36.65,122,99
1660,36.65,128,96
1680,36.75,122,99
1700,36.9,124,98
1720,36.95,120,100
1740,36.95,124,98
1760,37,120,100
1780,37.1,122,99
1800,37.15,122,99
1820,36.15,125,97
1840,37.2,130,95
1860,37.3,122,99
1880,37.4,120,100
1900,36.4,121,99
1920,36.5,119,100
1940,37.5,120,100
1960,36.8,125,97
1980,36.85,119,100
2000,36.9,125,97
