timestamp,temp,pulse,stats
0,37.95,140,100
20,36.7,126,100
40,37.2,128,97
60,37.5,120,99
80,36.35,119,98
100,36.85,121,97
120,37.6,119,98
140,36.95,118,98
160,36.75,115,99
180,36.8,119,97
200,37,119,97
220,37.35,117,98
240,36.9,115,98
260,36.85,115,97
280,36.85,110,99
300,37,112,98
320,36.4,109,99
340,37.4,112,98
360,36.45,125,91
380,36.6,115,96
400,36.9,109,99
420,36.9,107,100
440,36.6,110,98
460,36.75,106,100
480,36.8,108,99
500,36.9,114,96
520,37.1,110,98
540,37.15,106,100
560,37.25,108,99
580,37.3,112,97
600,37.5,106,100
620,37.7,110,98
640,36.8,109,98
660,36.85,105,100
680,37,105,100
700,38.1,110,98
720,37.25,107,99
740,36.5,106,99
760,36.65,104,100
780,36.85,104,100
800,37,108,98
820,36.4,111,96
840,37.3,107,98
860,36.6,102,100
880,36.8,104,99
900,36.85,102,100
920,36.9,110,96
940,37.1,102,100
960,36.75,103,99
980,37.85,106,98
1000,36.9,107,97
1020,36.95,105,98
1040,37.1,103,99
1060,37.1,105,98
1080,37.35,107,97
1100,38.35,112,95
1120,37.5,101,100
1140,36.7,104,98
1160,36.75,108,96
1180,38.3,109,96
1200,37.4,102,99
1220,36.65,107,96
1240,36.7,99,100
1260,36.75,103,98
1280,36.75,105,97
1300,37,99,100
1320,36.3,102,98
1340,37.3,105,97
1360,37.4,103,98
1380,36.65,104,97
1400,36.75,102,98
1420,36.8,106,96
1440,36.85,102,98
1460,38,101,99
1480,37,104,97
1500,37.1,104,97
1520,37.15,100,99
1540,37.2,100,99
1560,37.5,100,99
1580,36.6,99,99
1600,36.65,97,100
1620,36.7,97,100
1640,36.7,97,100
1660,36.75,97,100
1680,36.8,97,100
1700,36.8,105,96
1720,36.85,97,100
1740,37.85,104,97
1760,37.1,99,99
1780,37.1,99,99
1800,37.1,99,99
1820,37.2,103,97
1840,36.2,100,98
1860,37.25,99,99
1880,37.25,99,99
1900,37.3,97,100
1920,37.4,103,97
1940,36.6,100,98
1960,36.65,98,99
1980,36.7,100,98
2000,36.7,98,99
2020,37.75,103,97
2040,36.8,98,99
2060,36.85,100,98
2080,36.95,102,97
2100,36.95,102,97
2120,37,100,98
2140,37,96,100
2160,37.2,98,99
2180,37.25,96,100
2200,37.3,106,95
2220,37.3,100,98
2240,37.35,98,99
2260,37.35,98,99
2280,37.4,100,98
2300,37.5,104,96
2320,36.85,101,97
2340,36.9,97,99
2360,37.1,97,99
2380,37.1,95,100
2400,37.3,101,97
2420,36.3,100,97
2440,37.4,97,99
2460,36.5,94,100
2480,36.6,98,98
2500,36.65,94,100
2520,36.7,94,100
2540,36.75,94,100
2560,36.75,100,97
2580,36.8,94,100
2600,36.85,96,99
2620,36.9,98,98
2640,36.9,100,97
2660,36.95,94,100
2680,36.4,101,96
2700,36.4,95,99
2720,36.7,101,96
2740,37.75,98,98
2760,37.8,102,96
2780,36.85,101,96
2800,36.85,99,97
2820,36.9,95,99
2840,37,95,99
2860,37.1,101,96
2880,37.15,95,99
2900,37.4,99,97
2920,36.4,96,98
2940,37.4,101,96
2960,36.5,96,98
2980,36.7,94,99
3000,36.7,94,99
3020,36.7,92,100
3040,36.75,94,99
3060,36.9,92,100
3080,36.95,94,99
3100,37,96,98
3120,37,94,99
3140,37.1,92,100
3160,37.15,98,97
3180,37.25,94,99
3200,37.25,96,98
3220,37.3,96,98
3240,36.3,91,100
3260,37.35,100,96
3280,37.4,96,98
3300,37.5,92,100
